# results/trace_hf_decode.json.gz, step 2 of 5, segmented on annotation
# 1198 kernels, 1198 CPU launches, 15.302 ms device busy
# gap us = device idle before this event. s = * when the CPU had not yet issued the launch.
    #  launch us     gpu us   wait us    dur us   gap us s  aten op                    kernel
---------------------------------------------------------------------------------------------
    0      135.5     1356.2   1203.74      3.68     0.00    embedding/index_select     indexSelectSmallIndex<2,2>
   22     1792.1     1806.4      0.66      7.90    93.89 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
   23     1873.4     1887.2      0.54      3.94    72.93 *  mul                        elementwise_kernel<128,4>
   24     1946.2     1959.7      0.93      3.74    68.61 *  neg                        elementwise_kernel<128,4>
   25     1991.0     2004.3      0.67      5.31    40.83 *  cat                        CatArrayBatchedCopy<4,64,64>
   26     2039.3     2052.0      0.71      3.42    42.34 *  mul                        elementwise_kernel<128,4>
   27     2078.5     2090.4      0.56      2.14    35.04 *  add                        vectorized_elementwise_kernel<4>
   28     2116.3     2128.1      0.87      2.69    35.52 *  mul                        elementwise_kernel<128,4>
   29     2181.7     2195.1      0.84      2.30    64.35 *  neg                        elementwise_kernel<128,4>
   30     2224.0     2236.7      0.94      3.42    39.29 *  cat                        CatArrayBatchedCopy<4,64,64>
   31     2263.2     2275.3      0.82      2.69    35.10 *  mul                        elementwise_kernel<128,4>
   32     2298.2     2309.8      0.84      2.02    31.90 *  add                        vectorized_elementwise_kernel<4>
   33     2350.6     2364.6      1.09      4.03    52.73 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
   34     2394.1     2406.7      1.01      3.74    38.08 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
   35     2544.9     2559.0      0.37     15.07   148.51 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
   36     2561.1     2575.4      7.11      6.27     1.38    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
   37     2696.1     2711.6      0.60     21.66   129.92 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
   38     2756.3     2769.8      0.52      2.53    36.51 *  add                        vectorized_elementwise_kernel<4>
   39     2823.1     2837.6      0.60      4.29    65.28 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
   40     2871.8     2884.5      0.78      1.98    42.66 *  pow                        vectorized_elementwise_kernel<4,1>
   41     2915.4     2928.7      0.94      4.90    42.21 *  mean                       reduce_kernel<512,1>
   42     2964.5     2977.4      0.62      2.14    43.81 *  add                        vectorized_elementwise_kernel<4>
   43     3000.9     3013.0      0.76      2.37    33.44 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
   44     3038.4     3050.7      0.83      2.88    35.33 *  mul                        elementwise_kernel<128,2>
   45     3095.0     3108.6      0.91      1.98    55.01 *  to/copy_                   vectorized_elementwise_kernel<4,1>
   46     3134.5     3146.7      0.93      2.34    36.13 *  mul                        vectorized_elementwise_kernel<4>
   47     3224.6     3239.3      0.66     97.38    90.27 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
   48     3282.7     3337.7     41.69      3.65     1.02    silu                       vectorized_elementwise_kernel<4,1,5,1>
   49     3362.3     3376.8      0.92     97.57    35.46 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
   50     3411.5     3475.5     51.26      2.94     1.09    mul                        vectorized_elementwise_kernel<4>
   51     3496.7     3510.2      1.08    112.96    31.77 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
   52     3510.7     3624.2    105.99      3.49     1.09    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
   53     3559.3     3628.8     56.88      2.56     1.09    add                        vectorized_elementwise_kernel<4>
   54     3639.1     3654.0      0.82      4.13    22.69 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
   55     3688.1     3700.6      0.81      2.02    42.40 *  pow                        vectorized_elementwise_kernel<4,1>
   56     3731.1     3744.0      0.89      4.67    41.41 *  mean                       reduce_kernel<512,1>
   57     3779.3     3792.4      0.87      2.02    43.74 *  add                        vectorized_elementwise_kernel<4>
   58     3815.4     3827.3      0.81      2.18    32.86 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
   59     3852.2     3864.0      0.88      2.69    34.53 *  mul                        elementwise_kernel<128,2>
   60     3907.7     3920.8      0.60      1.95    54.08 *  to/copy_                   vectorized_elementwise_kernel<4,1>
   61     3947.1     3959.3      1.06      2.18    36.57 *  mul                        vectorized_elementwise_kernel<4>
   62     4046.4     4061.5      0.31     20.09   100.00 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
   63     4154.3     4169.0      0.92      8.10    87.42 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
   64     4256.6     4270.8      0.61      8.00    93.73 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
   65     4336.8     4351.1      0.58      3.94    72.29 *  mul                        elementwise_kernel<128,4>
   66     4409.5     4422.6      0.70      3.74    67.58 *  neg                        elementwise_kernel<128,4>
   67     4453.7     4474.0      0.49      5.34    47.61 *  cat                        CatArrayBatchedCopy<4,64,64>
   68     4504.5     4517.2      0.87      3.46    37.89 *  mul                        elementwise_kernel<128,4>
   69     4542.6     4554.5      0.98      2.08    33.86 *  add                        vectorized_elementwise_kernel<4>
   70     4579.6     4591.2      0.80      2.72    34.56 *  mul                        elementwise_kernel<128,4>
   71     4644.0     4657.2      0.87      2.30    63.33 *  neg                        elementwise_kernel<128,4>
   72     4685.8     4698.6      0.95      3.42    39.07 *  cat                        CatArrayBatchedCopy<4,64,64>
   73     4724.6     4736.9      1.19      2.69    34.91 *  mul                        elementwise_kernel<128,4>
   74     4759.3     4771.0      0.74      2.02    31.36 *  add                        vectorized_elementwise_kernel<4>
   75     4808.3     4822.0      0.85      4.06    48.99 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
   76     4851.5     4863.9      1.00      3.74    37.82 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
   77     5000.5     5014.5      0.79     15.10   146.91 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
   78     5016.0     5030.7      7.41      6.27     1.06    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
   79     5150.5     5165.7      0.57     20.96   128.80 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
   80     5209.8     5223.3      0.70      2.50    36.61 *  add                        vectorized_elementwise_kernel<4>
   81     5276.8     5291.4      0.78      4.35    65.57 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
   82     5325.6     5338.1      0.76      2.02    42.37 *  pow                        vectorized_elementwise_kernel<4,1>
   83     5368.6     5381.5      0.68      4.83    41.44 *  mean                       reduce_kernel<512,1>
   84     5439.3     5453.4      0.45      2.05    67.01 *  add                        vectorized_elementwise_kernel<4>
   85     5478.3     5490.8      1.20      2.24    35.36 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
   86     5516.8     5529.6      0.74      2.85    36.57 *  mul                        elementwise_kernel<128,2>
   87     5581.4     5595.5      0.53      2.02    63.04 *  to/copy_                   vectorized_elementwise_kernel<4,1>
   88     5623.0     5635.5      0.91      2.27    37.98 *  mul                        vectorized_elementwise_kernel<4>
   89     5726.5     5741.2      0.73     97.92   103.42 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
   90     5784.5     5840.3     42.31      3.58     1.15    silu                       vectorized_elementwise_kernel<4,1,5,1>
   91     5864.1     5878.7      0.87     98.81    34.88 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
   92     5913.5     5978.7     52.40      2.98     1.18    mul                        vectorized_elementwise_kernel<4>
   93     5998.6     6012.2      1.03    113.09    30.50 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
   94     6012.8     6126.4    105.95      3.52     1.09    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
   95     6061.9     6131.1     56.50      2.59     1.18    add                        vectorized_elementwise_kernel<4>
   96     6143.2     6158.5      1.03      4.06    24.83 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
   97     6192.4     6205.4      1.03      2.02    42.88 *  pow                        vectorized_elementwise_kernel<4,1>
   98     6235.9     6248.7      0.80      4.67    41.28 *  mean                       reduce_kernel<512,1>
   99     6284.0     6296.9      0.51      2.08    43.49 *  add                        vectorized_elementwise_kernel<4>
  100     6320.5     6332.4      0.77      2.27    33.44 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  101     6357.6     6369.7      1.10      2.69    35.04 *  mul                        elementwise_kernel<128,2>
  102     6413.4     6426.4      0.79      1.95    54.01 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  103     6452.2     6464.2      0.77      2.40    35.87 *  mul                        vectorized_elementwise_kernel<4>
  104     6551.2     6566.4      0.53     19.97    99.71 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  105     6658.7     6673.4      0.81      8.19    87.10 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  106     6761.6     6775.7      0.68      7.97    94.08 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  107     6907.0     6921.7      0.33      4.03   138.04 *  mul                        elementwise_kernel<128,4>
  108     6981.5     6995.3      0.83      3.68    69.53 *  neg                        elementwise_kernel<128,4>
  109     7026.2     7044.0      0.73      5.31    45.09 *  cat                        CatArrayBatchedCopy<4,64,64>
  110     7073.9     7086.5      0.93      3.42    37.12 *  mul                        elementwise_kernel<128,4>
  111     7111.2     7123.2      0.71      2.05    33.34 *  add                        vectorized_elementwise_kernel<4>
  112     7148.7     7160.5      1.04      2.66    35.23 *  mul                        elementwise_kernel<128,4>
  113     7213.5     7226.9      1.09      2.30    63.74 *  neg                        elementwise_kernel<128,4>
  114     7255.4     7268.3      0.95      3.49    39.07 *  cat                        CatArrayBatchedCopy<4,64,64>
  115     7294.7     7306.7      0.82      2.69    34.91 *  mul                        elementwise_kernel<128,4>
  116     7329.6     7341.4      0.94      2.05    32.03 *  add                        vectorized_elementwise_kernel<4>
  117     7379.0     7392.6      0.88      4.00    49.12 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  118     7422.4     7435.0      0.99      3.65    38.40 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  119     7572.9     7587.0      0.55     15.10   148.41 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  120     7588.8     7603.3      7.17      6.27     1.18    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  121     7723.5     7739.2      0.60     21.57   129.57 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  122     7783.2     7797.0      1.18      2.53    36.25 *  add                        vectorized_elementwise_kernel<4>
  123     7849.6     7864.1      0.59      4.26    64.57 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  124     7898.6     7911.3      0.74      1.98    42.97 *  pow                        vectorized_elementwise_kernel<4,1>
  125     7942.1     7955.3      0.87      4.80    41.95 *  mean                       reduce_kernel<512,1>
  126     7991.4     8004.6      0.63      2.08    44.57 *  add                        vectorized_elementwise_kernel<4>
  127     8028.1     8040.0      0.83      2.24    33.31 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  128     8065.5     8077.8      0.76      2.66    35.58 *  mul                        elementwise_kernel<128,2>
  129     8121.6     8135.3      0.81      1.98    54.75 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  130     8161.4     8173.5      0.83      2.27    36.26 *  mul                        vectorized_elementwise_kernel<4>
  131     8250.9     8265.6      0.50     98.11    89.85 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  132     8309.1     8364.9     42.49      3.55     1.12    silu                       vectorized_elementwise_kernel<4,1,5,1>
  133     8389.8     8404.4      1.05     97.98    35.97 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  134     8438.9     8503.6     52.41      2.91     1.28    mul                        vectorized_elementwise_kernel<4>
  135     8523.7     8537.2      1.19    114.75    30.65 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  136     8537.6     8653.0    107.74      3.55     1.02    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  137     8586.4     8657.7     58.70      2.59     1.22    add                        vectorized_elementwise_kernel<4>
  138     8666.8     8682.0      1.04      4.06    21.69 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  139     8715.5     8728.3      0.66      2.02    42.18 *  pow                        vectorized_elementwise_kernel<4,1>
  140     8758.6     8771.9      0.87      4.70    41.57 *  mean                       reduce_kernel<512,1>
  141     8807.3     8820.5      0.95      1.98    43.94 *  add                        vectorized_elementwise_kernel<4>
  142     8843.5     8855.8      0.89      2.24    33.31 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  143     8880.4     8892.6      1.00      2.72    34.59 *  mul                        elementwise_kernel<128,2>
  144     8936.1     8949.5      0.68      1.98    54.14 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  145     8975.2     8987.5      0.90      2.21    36.03 *  mul                        vectorized_elementwise_kernel<4>
  146     9073.8     9088.8      0.52     20.13    99.14 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  147     9181.7     9196.5      0.67      8.03    87.58 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  148     9284.7     9299.1      0.95      7.84    94.56 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  149     9365.0     9379.1      0.62      3.97    72.09 *  mul                        elementwise_kernel<128,4>
  150     9446.7     9460.5      0.56      3.78    77.44 *  neg                        elementwise_kernel<128,4>
  151     9491.6     9505.2      0.94      5.28    40.99 *  cat                        CatArrayBatchedCopy<4,64,64>
  152     9533.5     9545.8      0.82      3.46    35.30 *  mul                        elementwise_kernel<128,4>
  153     9570.7     9582.7      0.98      2.05    33.44 *  add                        vectorized_elementwise_kernel<4>
  154     9607.9     9625.1      0.64      2.72    40.35 *  mul                        elementwise_kernel<128,4>
  155     9679.4     9692.7      0.85      2.30    64.83 *  neg                        elementwise_kernel<128,4>
  156     9721.1     9733.8      0.86      3.46    38.85 *  cat                        CatArrayBatchedCopy<4,64,64>
  157     9760.5     9772.6      1.08      2.69    35.33 *  mul                        elementwise_kernel<128,4>
  158     9795.7     9807.3      0.69      2.05    32.00 *  add                        vectorized_elementwise_kernel<4>
  159     9844.7     9858.6      0.86      4.00    49.25 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  160     9888.0     9900.3      0.74      3.68    37.76 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  161    10037.4    10052.0      0.73     15.10   147.97 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  162    10053.5    10068.3      7.49      6.27     1.22    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  163    10187.5    10202.8      0.49     21.44   128.19 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  164    10247.2    10260.8      0.93      2.53    36.61 *  add                        vectorized_elementwise_kernel<4>
  165    10313.6    10328.1      0.74      4.38    64.77 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  166    10362.0    10374.6      0.82      1.98    42.08 *  pow                        vectorized_elementwise_kernel<4,1>
  167    10405.3    10418.2      0.81      4.83    41.66 *  mean                       reduce_kernel<512,1>
  168    10454.2    10467.3      0.91      1.86    44.22 *  add                        vectorized_elementwise_kernel<4>
  169    10490.7    10502.6      0.96      2.27    33.50 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  170    10527.9    10540.1      0.87      2.85    35.20 *  mul                        elementwise_kernel<128,2>
  171    10584.2    10597.5      0.69      1.98    54.56 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  172    10623.6    10635.8      1.10      2.30    36.26 *  mul                        vectorized_elementwise_kernel<4>
  173    10712.5    10727.1      0.61     99.33    88.99 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  174    10770.2    10827.5     44.13      3.62     1.15    silu                       vectorized_elementwise_kernel<4,1,5,1>
  175    10850.0    10864.7      1.06     97.79    33.54 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  176    10899.1    10963.8     52.08      2.88     1.28    mul                        vectorized_elementwise_kernel<4>
  177    10983.3    10996.7      1.22    113.57    30.11 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  178    10997.1    11111.4    106.53      3.52     1.09    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  179    11045.9    11116.1     57.32      2.59     1.18    add                        vectorized_elementwise_kernel<4>
  180    11126.5    11141.7      1.03      4.03    23.01 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  181    11175.4    11188.5      0.96      1.99    42.72 *  pow                        vectorized_elementwise_kernel<4,1>
  182    11218.8    11231.6      0.83      4.67    41.18 *  mean                       reduce_kernel<512,1>
  183    11266.7    11279.7      0.73      2.05    43.39 *  add                        vectorized_elementwise_kernel<4>
  184    11302.5    11314.2      0.83      2.24    32.48 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  185    11339.2    11351.3      1.00      2.72    34.82 *  mul                        elementwise_kernel<128,2>
  186    11395.0    11408.1      0.79      1.95    54.11 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  187    11434.2    11446.0      0.81      2.27    36.00 *  mul                        vectorized_elementwise_kernel<4>
  188    11532.4    11547.5      0.55     20.22    99.14 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  189    11640.4    11655.5      0.80      8.19    87.84 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  190    11743.3    11757.6      0.63      7.94    93.92 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  191    11823.5    11842.3      0.29      3.97    76.70 *  mul                        elementwise_kernel<128,4>
  192    11901.6    11915.3      0.86      3.74    69.02 *  neg                        elementwise_kernel<128,4>
  193    11946.2    11960.0      0.83      5.41    40.96 *  cat                        CatArrayBatchedCopy<4,64,64>
  194    11988.3    12000.5      0.91      3.46    35.14 *  mul                        elementwise_kernel<128,4>
  195    12025.1    12036.9      0.73      2.05    32.96 *  add                        vectorized_elementwise_kernel<4>
  196    12062.2    12074.0      1.01      2.69    35.01 *  mul                        elementwise_kernel<128,4>
  197    12134.7    12148.3      0.82      2.30    71.65 *  neg                        elementwise_kernel<128,4>
  198    12177.2    12190.1      1.00      3.52    39.52 *  cat                        CatArrayBatchedCopy<4,64,64>
  199    12216.3    12228.5      0.82      2.69    34.85 *  mul                        elementwise_kernel<128,4>
  200    12251.8    12263.7      0.84      2.05    32.48 *  add                        vectorized_elementwise_kernel<4>
  201    12301.0    12314.7      0.97      4.03    48.96 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  202    12344.1    12356.8      1.01      3.68    38.08 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  203    12492.6    12506.7      0.50     15.07   146.27 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  204    12508.6    12523.0      7.26      6.27     1.22    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  205    12642.3    12657.8      0.59     21.54   128.48 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  206    12702.6    12716.4      0.67      2.27    37.06 *  add                        vectorized_elementwise_kernel<4>
  207    12769.1    12783.7      0.67      4.38    65.02 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  208    12817.6    12830.5      0.78      1.98    42.43 *  pow                        vectorized_elementwise_kernel<4,1>
  209    12861.4    12874.7      0.93      4.96    42.21 *  mean                       reduce_kernel<512,1>
  210    12911.1    12924.2      0.69      2.08    44.57 *  add                        vectorized_elementwise_kernel<4>
  211    12947.4    12959.4      0.95      2.27    33.09 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  212    12984.2    12996.5      0.83      2.65    34.91 *  mul                        elementwise_kernel<128,2>
  213    13040.5    13054.1      0.95      1.98    54.88 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  214    13079.6    13091.6      0.86      2.30    35.52 *  mul                        vectorized_elementwise_kernel<4>
  215    13168.6    13183.0      0.55     98.14    89.12 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  216    13226.2    13282.4     42.89      3.62     1.22    silu                       vectorized_elementwise_kernel<4,1,5,1>
  217    13306.2    13320.9      0.92     97.98    34.91 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  218    13355.7    13420.0     51.59      2.91     1.12    mul                        vectorized_elementwise_kernel<4>
  219    13449.5    13463.2      1.15    114.40    40.26 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  220    13463.6    13578.8    107.45      3.58     1.22    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  221    13513.3    13583.5     57.25      2.59     1.12    add                        vectorized_elementwise_kernel<4>
  222    13594.4    13609.6      0.92      4.13    23.52 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  223    13643.7    13656.5      0.83      2.02    42.82 *  pow                        vectorized_elementwise_kernel<4,1>
  224    13687.3    13700.2      0.96      4.67    41.70 *  mean                       reduce_kernel<512,1>
  225    13735.5    13748.8      0.85      2.02    43.84 *  add                        vectorized_elementwise_kernel<4>
  226    13772.0    13783.8      0.95      2.21    33.05 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  227    13808.3    13820.2      0.79      2.78    34.14 *  mul                        elementwise_kernel<128,2>
  228    13864.1    13877.4      0.70      1.98    54.43 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  229    13903.3    13915.3      1.06      2.21    35.97 *  mul                        vectorized_elementwise_kernel<4>
  230    14001.5    14016.5      0.62     20.38    98.97 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  231    14109.3    14124.6      0.86      8.13    87.71 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  232    14212.9    14227.2      0.59      7.94    94.40 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  233    14293.5    14307.4      0.71      3.97    72.32 *  mul                        elementwise_kernel<128,4>
  234    14364.1    14377.4      0.73      3.71    65.98 *  neg                        elementwise_kernel<128,4>
  235    14408.2    14421.4      0.93      5.28    40.29 *  cat                        CatArrayBatchedCopy<4,64,64>
  236    14449.4    14461.8      0.85      3.46    35.17 *  mul                        elementwise_kernel<128,4>
  237    14486.7    14498.8      1.01      2.05    33.50 *  add                        vectorized_elementwise_kernel<4>
  238    14523.6    14535.1      0.95      2.66    34.34 *  mul                        elementwise_kernel<128,4>
  239    14587.1    14600.2      0.70      2.30    62.43 *  neg                        elementwise_kernel<128,4>
  240    14697.6    14711.6      0.91      3.46   109.09 *  cat                        CatArrayBatchedCopy<4,64,64>
  241    14740.1    14752.7      1.06      2.69    37.66 *  mul                        elementwise_kernel<128,4>
  242    14776.0    14787.8      0.77      2.05    32.32 *  add                        vectorized_elementwise_kernel<4>
  243    14826.3    14839.8      0.91      3.94    49.95 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  244    14869.4    14881.9      0.76      3.68    38.18 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  245    15018.7    15032.9      0.59     15.07   147.39 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  246    15034.7    15049.2      7.19      6.27     1.22    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  247    15169.1    15184.3      0.40     21.57   128.83 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  248    15229.2    15242.8      0.72      2.27    36.96 *  add                        vectorized_elementwise_kernel<4>
  249    15296.5    15311.5      0.97      4.26    66.33 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  250    15345.4    15358.0      0.84      1.98    42.27 *  pow                        vectorized_elementwise_kernel<4,1>
  251    15388.6    15401.8      0.78      4.83    41.82 *  mean                       reduce_kernel<512,1>
  252    15437.8    15450.9      0.79      2.11    44.29 *  add                        vectorized_elementwise_kernel<4>
  253    15473.9    15486.2      1.00      2.27    33.18 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  254    15511.4    15523.9      0.74      2.85    35.42 *  mul                        elementwise_kernel<128,2>
  255    15568.3    15581.6      0.65      2.02    54.81 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  256    15607.7    15619.9      0.99      2.24    36.32 *  mul                        vectorized_elementwise_kernel<4>
  257    15696.7    15711.7      0.69     97.38    89.53 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  258    15755.0    15810.3     42.08      3.55     1.28    silu                       vectorized_elementwise_kernel<4,1,5,1>
  259    15834.8    15849.3      0.94     97.89    35.45 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  260    15884.1    15948.3     51.52      2.91     1.09    mul                        vectorized_elementwise_kernel<4>
  261    15968.6    15982.1      1.16    112.38    30.85 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
